ticker,first_eligible_date,last_eligible_date,eligibility_basis,source,confidence,notes
YELL,1990-01-02,2026-07-01,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=YELL; norgate_symbol=YELLQ-202607
QLTY,2003-11-07,2015-08-17,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=QLTY; norgate_symbol=QLTY-201508
DSKE,2015-10-12,2024-04-01,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=DSKE; norgate_symbol=DSKE-202404
UTIW,2000-11-02,2016-01-21,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=UTIW; norgate_symbol=UTIW-201601
PACR,2002-06-13,2014-03-31,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=PACR; norgate_symbol=PACR-201403
ECHO,2009-10-02,2021-11-22,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=ECHO; norgate_symbol=ECHO-202111
EGL,1995-12-01,2007-08-02,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=EGL; norgate_symbol=EAGL-200708
STMP,1999-06-25,2021-10-04,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=STMP; norgate_symbol=STMP-202110
ABF,1990-01-02,2003-08-15,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=ABF; norgate_symbol=ABF-200308
DDMX,1996-08-13,2011-02-22,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=DDMX; norgate_symbol=DDMX-201102
FRTZ,1992-10-16,2001-05-24,norgate_first_and_last_quoted_dates,norgate_local_metadata,0.95,actual_ticker=FRTZ; norgate_symbol=FRTZ-200105
