internal_ticker,actual_ticker,norgate_symbol,source_database,company_name,norgate_security_name,first_quoted_date,last_quoted_date,eligibility_end_date,mapping_status,mapping_reason,name_similarity,exit_year,calibration_usable_flag,review_status,notes
UNP,UNP,UNP,US Equities,Union Pacific Corporation,Union Pacific Corp Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CSX,CSX,CSX,US Equities,CSX Corporation,CSX Corp Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CP,CP,CP,US Equities,Canadian Pacific Kansas City Limited,Canadian Pacific Kansas City Ltd Common,2001-08-21,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CNI,CNI,CNI,US Equities,Canadian National Railway Company,Canadian National Railway Co Common,1996-11-26,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
NSC,NSC,NSC,US Equities,Norfolk Southern Corporation,Norfolk Southern Corp Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
TRN,TRN,TRN,US Equities,"Trinity Industries, Inc.",Trinity Industries Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
GBX,GBX,GBX,US Equities,"The Greenbrier Companies, Inc.",Greenbrier Companies Inc Common,1994-07-14,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
FSTR,FSTR,FSTR,US Equities,L.B. Foster Company,L. B. Foster Co Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
RAIL,RAIL,RAIL,US Equities,"FreightCar America, Inc.",FreightCar America Inc Common,2005-04-06,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
SWVL,SWVL,SWVL,US Equities,Swvl Holdings Corp.,SWVL Holdings Corp Class A Common,2021-03-15,,,verified_exact_active,exact_active_symbol_and_name_match,0.500000,,1,auto_verified,
RVSN,RVSN,RVSN,US Equities,Rail Vision Ltd.,Rail Vision Ltd Common,2022-03-31,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
GATX,GATX,GATX,US Equities,GATX Corporation,GATX Corp Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
ODFL,ODFL,ODFL,US Equities,"Old Dominion Freight Line, Inc.",Old Dominion Freight Line Inc Common,1991-10-24,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
XPO,XPO,XPO,US Equities,"XPO, Inc.",XPO Inc Common,2002-07-26,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
TFII,TFII,TFII,US Equities,TFI International Inc.,TFI International Inc Common,2005-11-15,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
SAIA,SAIA,SAIA,US Equities,"Saia, Inc.",Saia Inc Common,2002-09-11,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
SNDR,SNDR,SNDR,US Equities,"Schneider National, Inc.",Schneider National Inc Class B Common,2017-04-06,,,verified_exact_active,exact_active_symbol_and_name_match,0.818182,,1,auto_verified,
RXO,RXO,RXO,US Equities,"RXO, Inc.",RXO Inc Common,2022-10-27,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
ARCB,ARCB,ARCB,US Equities,ArcBest Corporation,ArcBest Corp Common,1992-05-13,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
WERN,WERN,WERN,US Equities,"Werner Enterprises, Inc.",Werner Enterprises Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
MRTN,MRTN,MRTN,US Equities,"Marten Transport, Ltd.",Marten Transport Ltd Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CVLG,CVLG,CVLG,US Equities,"Covenant Logistics Group, Inc.",Covenant Logistics Group Inc Class A Common,1994-10-28,,,verified_exact_active,exact_active_symbol_and_name_match,0.818182,,1,auto_verified,
HTLD,HTLD,HTLD,US Equities,"Heartland Express, Inc.",Heartland Express Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
