internal_ticker,exchange_ticker,price_source_symbol,company_name,cik,exchange,country,currency,security_type,calibration_cohort_id,calibration_cohort,start_date,end_date,eligibility_basis,membership_status,successor_ticker,event_type,confidence,source_url,notes
SBLK,SBLK,SBLK,Star Bulk Carriers Corp.,0001386716,Nasdaq,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
DAC,DAC,DAC,Danaos Corporation,0001369241,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
ECO,ECO,ECO,Okeanis Eco Tankers Corp.,0001964954,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2023-12-11,,separate_listing_optional_issuer_proxy,active,,cross_listing_separate_security,1.00,https://www.okeanisecotankers.com/wp-content/uploads/2024/04/OET-Annual-Report-2023.pdf,separate_listing_optional_issuer_proxy; NYSE trading began 2023-12-11; Oslo OET history is a separate listing and may be used only as an FX-normalized issuer proxy after equivalence and corporate-action validation.
CMRE,CMRE,CMRE,Costamare Inc.,0001503584,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
GSL,GSL,GSL,"Global Ship Lease, Inc.",0001430725,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CCEC,CCEC,CCEC,Capital Clean Energy Carriers Corp.,0001392326,Nasdaq,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
GNK,GNK,GNK,Genco Shipping & Trading Limited,0001326200,NYSE,United States,USD,Ordinary Shares,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
SB,SB,SB,"Safe Bulkers, Inc.",0001434754,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
HSHP,HSHP,HSHP,Himalaya Shipping Ltd.,0001959455,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2023-04-03,,separate_listing_optional_issuer_proxy,active,,cross_listing_separate_security,1.00,https://www.sec.gov/Archives/edgar/data/1959455/000114036123015778/ny20006357x18_424b4.htm,separate_listing_optional_issuer_proxy; The Oslo listing used HSHIP before the 2023 ticker change; NYSE trading began 2023-04-03. Preserve venue-specific prices and calendars.
ASC,ASC,ASC,Ardmore Shipping Corporation,0001577437,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
ESEA,ESEA,ESEA,Euroseas Ltd.,0001341170,Nasdaq,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
PANL,PANL,PANL,Pangaea Logistics Solutions Ltd.,0001606909,Nasdaq,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CMDB,CMDB,CMDB,Costamare Bulkers Holdings Limited,0002033535,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2025-05-01,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
GASS,GASS,GASS,StealthGas Inc.,0001328919,Nasdaq,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
