ticker,investability_status,company_name,cik,exchange,sector,industry,subsector,country,currency,security_type,listing_status,is_primary_listing
HRL,investable,Hormel Foods Corporation,48465,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
SJM,investable,The J. M. Smucker Company,91419,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
DAR,investable,Darling Ingredients Inc.,916540,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
CAG,investable,"Conagra Brands, Inc.",23217,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
LW,investable,"Lamb Weston Holdings, Inc.",1679273,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
CPB,investable,The Campbell's Company,16732,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
INGR,investable,Ingredion Incorporated,1046257,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
PPC,investable,Pilgrim's Pride Corporation,802481,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
POST,investable,"Post Holdings, Inc.",1530950,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
FRPT,investable,"Freshpet, Inc.",1611647,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
MZTI,investable,The Marzetti Company,57515,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
JJSF,investable,J&J Snack Foods Corp.,785956,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
NOMD,investable,Nomad Foods Limited,1651717,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Ordinary Shares,active,TRUE
FLO,investable,"Flowers Foods, Inc.",1128928,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
BRBR,investable,"BellRing Brands, Inc.",1772016,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
HLF,investable,Herbalife Ltd.,1180262,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
UTZ,investable,"Utz Brands, Inc.",1739566,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
SENEA,investable,Seneca Foods Corporation,88948,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
SMPL,investable,The Simply Good Foods Company,1702744,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
JBSS,investable,"John B. Sanfilippo & Son, Inc.",880117,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
MAMA,investable,"Mama's Creations, Inc.",1520358,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
BGS,investable,"B&G Foods, Inc.",1278027,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
MDLZ,investable,"Mondelez International, Inc.",1103982,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
TSN,investable,"Tyson Foods, Inc.",100493,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
ADM,investable,Archer-Daniels-Midland Company,7084,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
ANDE,investable,"The Andersons, Inc.",821026,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
AVO,investable,"Mission Produce, Inc.",1802974,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
BG,investable,Bunge Global SA,1996862,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Ordinary Shares,active,TRUE
CALM,investable,"Cal-Maine Foods, Inc.",16160,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
CENTA,investable,Central Garden & Pet Company,887733,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
FDP,investable,Fresh Del Monte Produce Inc.,1047340,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Ordinary Shares,active,TRUE
DOLE,investable,Dole plc,1857475,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Ordinary Shares,active,TRUE
HSY,investable,The Hershey Company,47111,NYSE,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
SFD,investable,"Smithfield Foods, Inc.",91388,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
VITL,investable,"Vital Farms, Inc.",1579733,Nasdaq,Consumer Defensive,Packaged Foods,Consumer Defensive,United States,USD,Common Stock,active,TRUE
