ticker,first_eligible_date,last_eligible_date,eligibility_basis,source,confidence,notes
RGR,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
RKLB,2020-11-24,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2020-11-24; prior_membership_start=2010-01-01; prior_membership_end=
RTX,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
SAIC,2013-09-16,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2013-09-16; prior_membership_start=2010-01-01; prior_membership_end=
SARO,2024-10-02,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2024-10-02; prior_membership_start=2010-01-01; prior_membership_end=
SATL,2021-03-26,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2021-03-26; prior_membership_start=2010-01-01; prior_membership_end=
SIDU,2021-12-14,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2021-12-14; prior_membership_start=2010-01-01; prior_membership_end=
SIF,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
SPAI,2024-08-28,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2024-08-28; prior_membership_start=2010-01-01; prior_membership_end=
SPCX,2026-06-12,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2026-06-12; prior_membership_start=2010-01-01; prior_membership_end=
SWBI,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
TATT,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
TDG,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
TDY,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
TXT,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
VOYG,2025-06-11,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2025-06-11; prior_membership_start=2010-01-01; prior_membership_end=
VSEC,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
VVX,2014-09-16,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2014-09-16; prior_membership_start=2010-01-01; prior_membership_end=
VWAV,2025-07-15,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2025-07-15; prior_membership_start=2010-01-01; prior_membership_end=
WWD,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
XTIA,2012-08-03,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2012-08-03; prior_membership_start=2010-01-01; prior_membership_end=
YSS,2026-01-29,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2026-01-29; prior_membership_start=2010-01-01; prior_membership_end=
AJRD,2000-01-03,2023-12-31,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2000-01-03; prior_membership_start=2000-01-01; prior_membership_end=2023-12-31
APSG,2000-01-03,2011-12-31,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2000-01-03; prior_membership_start=2000-01-01; prior_membership_end=2011-12-31
ARTX,2000-01-03,2019-12-31,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2000-01-03; prior_membership_start=2000-01-01; prior_membership_end=2019-12-31
ASTR,2020-10-06,2024-12-31,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2020-10-06; prior_membership_start=2000-01-01; prior_membership_end=2024-12-31
ATK,2000-01-03,2015-12-31,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2000-01-03; prior_membership_start=2000-01-01; prior_membership_end=2015-12-31
ATNY,2005-11-15,2016-12-31,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2005-11-15; prior_membership_start=2000-01-01; prior_membership_end=2016-12-31
BEAV,2000-01-03,2017-12-31,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2000-01-03; prior_membership_start=2000-01-01; prior_membership_end=2017-12-31
COL,2001-06-15,2018-12-31,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2001-06-15; prior_membership_start=2000-01-01; prior_membership_end=2018-12-31
CSRA,2015-11-16,2018-12-31,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2015-11-16; prior_membership_start=2000-01-01; prior_membership_end=2018-12-31
